PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,total_price,AGE,AREA_Adyar,AREA_Anna Nagar,AREA_Chrompet,AREA_KK Nagar,AREA_Karapakam,AREA_T Nagar,AREA_Velachery,SALE_COND_AbNormal,SALE_COND_Adj Land,SALE_COND_Family,SALE_COND_Normal Sale,SALE_COND_Partial,PARK_FACIL_No,PARK_FACIL_Yes,BUILDTYPE_Commercial,BUILDTYPE_House,BUILDTYPE_Others,UTILITY_AVAIL_All Pub,UTILITY_AVAIL_ELO,UTILITY_AVAIL_NoSeWa,UTILITY_AVAIL_NoSewr ,STREET_Gravel,STREET_No Access,STREET_Paved
P03210,Karapakam,1004,131,1,1,3,AbNormal,Yes,Commercial,All Pub,Paved,8124400,44,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
P01812,Adyar,909,70,1,1,3,AbNormal,Yes,Commercial,ELO,Gravel,13672408,20,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
P05346,Velachery,1855,14,3,2,5,Family,No,Others,NoSewr ,Paved,10063653,22,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
P06210,Karapakam,1226,84,1,1,3,AbNormal,Yes,Others,All Pub,Gravel,7717313,30,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
P00219,Chrompet,1220,36,2,1,4,Partial,No,Commercial,NoSeWa,No Access,13002093,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0
P09105,Chrompet,1167,137,1,1,3,Partial,No,Others,All Pub,No Access,8785897,28,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
P09679,Velachery,1847,176,3,2,5,Family,No,Commercial,All Pub,Gravel,17640263,10,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
P03377,Chrompet,771,175,1,1,2,Adj Land,No,Others,NoSewr ,Paved,8599784,34,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
P09623,Velachery,1635,74,2,1,4,AbNormal,No,Others,ELO,No Access,8528251,15,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
P09540,Chrompet,1203,78,2,1,4,Adj Land,Yes,Commercial,All Pub,No Access,15460830,28,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
P07121,Chrompet,1054,143,1,1,3,Partial,No,Others,NoSewr ,Gravel,9837169,37,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
P05512,Chrompet,1196,137,1,1,3,Family,No,Others,NoSewr ,No Access,9099021,19,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
P09370,Adyar,1056,83,1,1,3,Partial,Yes,Others,NoSewr ,Paved,9743177,26,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
P04085,Velachery,1865,157,3,2,5,Family,No,Commercial,NoSewr ,Paved,16414161,54,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
P06328,Velachery,1868,148,3,2,5,Family,No,Commercial,NoSewr ,Gravel,16499784,9,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
P06039,Karapakam,1639,175,2,2,4,Normal Sale,Yes,House,ELO,Gravel,9019552,18,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
P02016,Chrompet,796,134,1,1,2,Adj Land,Yes,Commercial,All Pub,No Access,11359965,36,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
P08160,Adyar,1136,69,1,1,3,Normal Sale,Yes,Others,All Pub,Paved,8660489,30,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
P00936,Chrompet,1069,53,1,1,3,AbNormal,Yes,Others,NoSewr ,Paved,11232696,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
P07346,Chrompet,931,96,1,1,3,AbNormal,Yes,Others,ELO,Paved,9461549,22,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
P06851,KK Nagar,2010,114,3,2,5,Partial,No,Others,NoSewr ,Gravel,11515372,10,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
P04665,Chrompet,1074,100,1,1,3,AbNormal,No,Others,NoSewr ,Gravel,10002847,16,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
